Toy #,Col.#,Model Name,Series,Series #,Photo,Tags,ImageFiles
HYW66,008,Mazda Autozam,HW Dream Garage,1/5,,,00001_HW_Dream_Garage.jpg
HYY10,008,Mazda Autozam (2nd Color - Zamac),HW Dream Garage,1/5,,Walmart Exclusive,00002_HW_Dream_Garage.jpg
HYX45,008,Mazda Autozam (3rd Color),HW Dream Garage,1/5,,,00003_HW_Dream_Garage.jpg
HYW18,001,Mazda MX-5 Miata,HW Dream Garage,2/5,,New for 2025!,00004_HW_Dream_Garage.jpg
HYX57,001,Mazda MX-5 Miata (2nd Color),HW Dream Garage,2/5,,New for 2025!,00005_HW_Dream_Garage.jpg
HYY52,107,Aston Martin DB4GT High-Speed Edition,HW Dream Garage,3/5,,,00006_HW_Dream_Garage.jpg
JBC39,107,Aston Martin DB4GT High-Speed Edition,HW Dream Garage,3/5,,Super Treasure Hunt,00007_HW_Dream_Garage.jpg
HYW28,108,Slide-Burn,HW Dream Garage,4/5,,New for 2025!,00008_HW_Dream_Garage.jpg
HYX84,108,Slide-Burn (2nd Color),HW Dream Garage,4/5,,New for 2025!,00009_HW_Dream_Garage.jpg
HYY74,134,'68 Corvette - Gas Monkey Garage,HW Dream Garage,5/5,,,00010_HW_Dream_Garage.jpg
HYW60,002,Batman & Robin Batmobile,Batman,1/5,,,00011_Batman.jpg
HYX61,002,Batman & Robin Batmobile (2nd Color),Batman,1/5,,,00012_Batman.jpg
HYX04,054,Batman: Arkham Asylum Batmobile,Batman,2/5,,,00013_Batman.jpg
HYX81,054,Batman: Arkham Asylum Batmobile (2nd Color),Batman,2/5,,,00014_Batman.jpg
HYX44,103,TV Series Batmobile,Batman,3/5,,,00015_Batman.jpg
HYY05,103,TV Series Batmobile (2nd Color),Batman,3/5,,,00016_Batman.jpg
HYY81,145,Batmobile,Batman,4/5,,,00017_Batman.jpg
HYW57,232,1966 Bat Boat,Batman,5/5,,New for 2025!,00018_Batman.jpg
HYW61,003,Monster High Ghoul Mobile,HW Screen Time,1/10,,,00019_HW_Screen_Time.jpg
HYX62,003,Monster High Ghoul Mobile (2nd Color),HW Screen Time,1/10,,,00020_HW_Screen_Time.jpg
HYY72,004,Nissan Skyline GT-R (BNR32),HW Screen Time,2/10,,,00021_HW_Screen_Time.jpg
HYW83,030,Standard Kart,HW Screen Time,3/10,,,00022_HW_Screen_Time.jpg
HYW84,031,X-34 Landspeeder,HW Screen Time,4/10,,,00023_HW_Screen_Time.jpg
HYX27,083,K.I.T.T.,HW Screen Time,5/10,,,00024_HW_Screen_Time.jpg
HYW26,104,Optimus Prime,HW Screen Time,6/10,,New for 2025!,00025_HW_Screen_Time.jpg
HYW62,132,Snoopy,HW Screen Time,7/10,,,00026_HW_Screen_Time.jpg
HYY82,146,Minecart,HW Screen Time,8/10,,,00027_HW_Screen_Time.jpg
HYY83,147,Chevy El Camino,HW Screen Time,9/10,,New in Mainline,00028_HW_Screen_Time.jpg
HYY98,166,Disney Steamboat,HW Screen Time,10/10,,,00029_HW_Screen_Time.jpg
HYW63,005,Purple Passion,HW Designed By,1/5,,,00030_HW_Designed_By.jpg
HYX55,005,Purple Passion (2nd Color),HW Designed By,1/5,,,00031_HW_Designed_By.jpg
JBC21,032,Fish'd & Chip'd,HW Designed By,2/5,,Treasure Hunt,00032_HW_Designed_By.jpg
HYY73,084,Gotta Go,HW Designed By,3/5,,,00033_HW_Designed_By.jpg
HYX94,084,Gotta Go (2nd Color),HW Designed By,3/5,,,00034_HW_Designed_By.jpg
HYY50,105,RD-06,HW Designed By,4/5,,,00035_HW_Designed_By.jpg
HYX82,105,RD-06 (2nd Color),HW Designed By,4/5,,,00036_HW_Designed_By.jpg
HYX28,133,Monster Dairy Delivery,HW Designed By,5/5,,,00037_HW_Designed_By.jpg
HYX93,133,Monster Dairy Delivery (2nd Color),HW Designed By,5/5,,,00038_HW_Designed_By.jpg
HYW64,006,Kowloon'd Hypervan,HW Metro,1/5,,,00039_HW_Metro.jpg
HYX75,006,Kowloon'd Hypervan (2nd Color),HW Metro,1/5,,,00040_HW_Metro.jpg
HYW65,007,Small Bloc,HW Metro,2/5,,,00041_HW_Metro.jpg
HYX56,007,Small Bloc,HW Metro,2/5,,,00042_HW_Metro.jpg
JBC22,057,Mailed It!,HW Metro,3/5,,Treasure Hunt,00043_HW_Metro.jpg
HYW21,058,Maserati Shamal,HW Metro,4/5,,New for 2025!,00044_HW_Metro.jpg
HYX76,058,Maserati Shamal (2nd Color),HW Metro,4/5,,New for 2025!,00045_HW_Metro.jpg
HYW35,148,Cone Shaker,HW Metro,5/5,,New for 2025!,00046_HW_Metro.jpg
JBB62,148,Cone Shaker (2nd Color),HW Metro,5/5,,New for 2025!,00047_HW_Metro.jpg
HYW86,009,Tesla Model S Plaid,HW EV,1/10,,,00048_HW_EV.jpg
HYX58,009,Tesla Model S Plaid (2nd Color),HW EV,1/10,,,00049_HW_EV.jpg
HYW67,010,Deora III,HW EV,2/10,,,00050_HW_EV.jpg
HYX47,010,Deora III (2nd Color),HW EV,2/10,,,00051_HW_EV.jpg
HYW85,033,Fiat 500e,HW EV,3/10,,,00052_HW_EV.jpg
HYW15,072,Cupra e-Racer,HW EV,4/10,,New for 2025!,00053_HW_EV.jpg
HYX46,072,Cupra e-Racer (2nd Color),HW EV,4/10,,New for 2025!,00054_HW_EV.jpg
HYX06,060,Supercharged,HW EV,5/10,,,00055_HW_EV.jpg
HYX64,060,Supercharged (2nd Color),HW EV,5/10,,,00056_HW_EV.jpg
HYX30,086,Silverado EV RST,HW EV,6/10,,,00057_HW_EV.jpg
JBB64,086,Silverado EV RST (2nd Color),HW EV,6/10,,,00058_HW_EV.jpg
HYY28,086,Silverado EV RST (3rd Color),HW EV,6/10,,Dollar Tree/Family Dollar Exclusive,00016_Batman.jpg
HYY99,101,Chevy Super Volt,HW EV,7/10,,,00059_HW_EV.jpg
HYW22,120,Custom Kia EV6,HW EV,8/10,,New for 2025!,00060_HW_EV.jpg
HYX63,120,Custom Kia EV6 (2nd Color),HW EV,8/10,,New for 2025!,00061_HW_EV.jpg
HYY86,151,Rodger Dodger 2.0,HW EV,9/10,,,00062_HW_EV.jpg
JBB65,151,Rodger Dodger 2.0 (2nd Color),HW EV,9/10,,,00063_HW_EV.jpg
JBC27,168,Nissan Leaf NISMO RC_02,HW EV,10/10,,Treasure Hunt,00064_HW_EV.jpg
HYW14,011,Kei Swap,HW Art Cars,1/10,,New for 2025!,00065_HW_Art_Cars.jpg
HYX95,011,Kei Swap (2nd Color),HW Art Cars,1/10,,New for 2025!,00066_HW_Art_Cars.jpg
HYW68,012,Custom '53 Chevy,HW Art Cars,2/10,,,00067_HW_Art_Cars.jpg
HYY11,012,Custom '53 Chevy (2nd Color - Zamac),HW Art Cars,2/10,,Walmart Exclusive,00068_HW_Art_Cars.jpg
HYY87,035,The Vanster,HW Art Cars,3/10,,,00069_HW_Art_Cars.jpg
HYX65,035,The Vanster (2nd Color),HW Art Cars,3/10,,,00070_HW_Art_Cars.jpg
JJB80,062,Datsun 240Z,HW Art Cars,4/10,,,00071_HW_Art_Cars.jpg
JBB66,062,Datsun 240Z (3rd Color),HW Art Cars,4/10,,,00072_HW_Art_Cars.jpg
HYW88,036,DMC DeLorean,HW Art Cars,5/10,,,00073_HW_Art_Cars.jpg
HYX59,036,DMC DeLorean (2nd Color),HW Art Cars,5/10,,,00074_HW_Art_Cars.jpg
HYX07,061,Hi-Roller II,HW Art Cars,6/10,,,00075_HW_Art_Cars.jpg
JBC37,061,Hi-Roller II,HW Art Cars,6/10,,Super Treasure Hunt,00076_HW_Art_Cars.jpg
HYX31,087,'70 Plymouth Superbird,HW Art Cars,7/10,,,00077_HW_Art_Cars.jpg
HYX96,087,'70 Plymouth Superbird (2nd Color),HW Art Cars,7/10,,,00078_HW_Art_Cars.jpg
HYX32,088,Ain't Fare,HW Art Cars,8/10,,,00079_HW_Art_Cars.jpg
JBB67,088,Ain't Fare (2nd Color),HW Art Cars,8/10,,,00080_HW_Art_Cars.jpg
HYW30,135,Long Bloc,HW Art Cars,9/10,,New for 2025!,00081_HW_Art_Cars.jpg
HYX97,135,Long Bloc (2nd Color),HW Art Cars,9/10,,New for 2025!,00082_HW_Art_Cars.jpg
JBB00,169,'67 Austin Mini Van,HW Art Cars,10/10,,,00083_HW_Art_Cars.jpg
JBB68,169,'67 Austin Mini Van (2nd Color),HW Art Cars,10/10,,,00084_HW_Art_Cars.jpg
HYW69,013,Nerve Hammer,X-Raycers,1/10,,,00085_X-Raycers.jpg
HYX66,013,Nerve Hammer (2nd Color),X-Raycers,1/10,,,00086_X-Raycers.jpg
HYW70,014,Draftnator,X-Raycers,2/10,,,00087_X-Raycers.jpg
HYY31,014,Draftnator (2nd Color),X-Raycers,2/10,,Kroger Exclusive,00088_X-Raycers.jpg
HYX67,014,Draftnator (3rd Color),X-Raycers,2/10,,,00089_X-Raycers.jpg
HYW89,037,Crescendo,X-Raycers,3/10,,,00090_X-Raycers.jpg
HYX85,037,Crescendo (2nd Color),X-Raycers,3/10,,,00091_X-Raycers.jpg
HYX09,063,Monteracer,X-Raycers,4/10,,,00092_X-Raycers.jpg
HYX86,063,Monteracer (2nd Color),X-Raycers,4/10,,,00093_X-Raycers.jpg
HYX10,064,Arrow Dynamic,X-Raycers,5/10,,,00094_X-Raycers.jpg
HYX98,064,Arrow Dynamic (2nd Color),X-Raycers,5/10,,,00095_X-Raycers.jpg
HYX11,065,El Viento,X-Raycers,6/10,,,00096_X-Raycers.jpg
HYY06,065,El Viento (2nd Color),X-Raycers,6/10,,,00097_X-Raycers.jpg
HYX33,089,Stockar,X-Raycers,7/10,,,00098_X-Raycers.jpg
HYY07,089,Stockar (2nd Color),X-Raycers,7/10,,,00099_X-Raycers.jpg
HYY53,109,Power Rocket,X-Raycers,8/10,,,00100_X-Raycers.jpg
JBB69,109,Power Rocket (2nd Color),X-Raycers,8/10,,,00101_X-Raycers.jpg
JBC24,110,Rig Storm,X-Raycers,9/10,,Treasure Hunt,00102_X-Raycers.jpg
HYY75,136,Salt Shaker,X-Raycers,10/10,,,00103_X-Raycers.jpg
JBB80,136,Salt Shaker (2nd Color),X-Raycers,10/10,,,00104_X-Raycers.jpg
HYW13,015,Morgan Super 3,Factory Fresh,1/5,,New for 2025!,00105_Factory_Fresh.jpg
HYY33,015,Morgan Super 3 (2nd Color),Factory Fresh,1/5,,"Kroger Exclusive, New for 2025!",00016_Batman.jpg
HYX48,015,Morgan Super 3 (3rd Color),Factory Fresh,1/5,,New for 2025!,00106_Factory_Fresh.jpg
HYW72,016,'87 Audi quattro,Factory Fresh,2/5,,,00107_Factory_Fresh.jpg
JBC35,016,'87 Audi quattro,Factory Fresh,2/5,,Super Treasure Hunt,00108_Factory_Fresh.jpg
HYW90,038,Proton Saga,Factory Fresh,3/5,,,00109_Factory_Fresh.jpg
HYW23,090,Gordon Murray Automotive T.33,Factory Fresh,4/5,,New for 2025!,00110_Factory_Fresh.jpg
JBB70,090,Gordon Murray Automotive T.33 (2nd Color),Factory Fresh,4/5,,New for 2025!,00111_Factory_Fresh.jpg
HYW34,191,Ferrari SF90 Stradale,Factory Fresh,5/5,,New for 2025!,00112_Factory_Fresh.jpg
